,Brand,Movement,Case material,Bracelet material,Gender,Price,Shape,Crystal,Dial,Bracelet color,Clasp,Total Sale,Seller Reviews,Year,Volume
26677,Sinn,Automatic,steel,Leather,Men's watch/Unisex,285120.0,Circular,Plexiglass,Black,Black,Buckle,5191.0,3592.0,2024-01-01,High Sale
26679,Venezianico,Automatic,steel,Steel,Men's watch/Unisex,43230.0,Circular,Sapphire crystal,Green,Steel,Double-fold clasp,343.0,299.0,2024-01-01,Low Sale
26680,GUB Glashütte,Manual winding,steel,Leather,Men's watch/Unisex,62370.0,Rectangular,Plexiglass,White,Brown,Buckle,496.0,411.0,1960-01-01,Low Sale
26681,Panerai,Automatic,steel,Leather,Men's watch/Unisex,484687.5,Circular,Sapphire crystal,Black,Black,Buckle,1123.0,852.0,2021-01-01,Medium Sale
26683,Junghans,Quartz,steel,Leather,Men's watch/Unisex,42817.5,Circular,Plexiglass,Blue,Brown,Buckle,14642.0,448.0,2021-01-01,High Sale
26685,Chopard,Automatic,steel,Steel,Men's watch/Unisex,1645875.0,Circular,Sapphire crystal,Red,Silver,Buckle,3087.0,2339.0,2024-01-01,High Sale
26687,Montblanc,Automatic,steel,Leather,Men's watch/Unisex,94462.5,Circular,Sapphire crystal,Silver,Brown,Buckle,1420.0,876.0,2024-01-01,Medium Sale
26689,Mühle Glashütte,Automatic,steel,Leather,Men's watch/Unisex,186697.5,Circular,Sapphire crystal,White,Black,Buckle,433.0,274.0,2024-01-01,Low Sale
26695,Audemars Piguet,Automatic,Titanium,Rubber,Men's watch/Unisex,2392500.0,Circular,Sapphire crystal,Blue,Blue,Buckle,544.0,399.0,2021-01-01,Low Sale
26699,Audemars Piguet,Automatic,gold,Animal skin,Men's watch/Unisex,6265875.0,Circular,Sapphire crystal,Green,Green,Double-fold clasp,627.0,461.0,2024-01-01,Low Sale
26703,Tutima,Automatic,steel,Leather,Men's watch/Unisex,333300.0,Circular,Sapphire crystal,Black,Silver,Buckle,374.0,268.0,1990-01-01,Low Sale
26707,Traser,Quartz,steel,Textile,Men's watch/Unisex,52882.5,Circular,Sapphire crystal,Green,Green,Buckle,8539.0,4710.0,2024-01-01,High Sale
26708,Hanhart,Automatic,steel,Textile,Men's watch/Unisex,248655.0,Circular,Sapphire crystal,Blue,Blue,Fold clasp,1072.0,940.0,2024-01-01,Medium Sale
26709,Concord,Quartz,steel,Steel,Men's watch/Unisex,134887.5,Circular,Sapphire crystal,Blue,Steel,Fold clasp,810.0,640.0,2020-01-01,Medium Sale
26711,Romain Jerome,Automatic,steel,Rubber,Men's watch/Unisex,465547.5,Circular,Sapphire crystal,White,Black,Fold clasp,549.0,480.0,2023-01-01,Low Sale
26712,CWC,Manual winding,steel,Textile,Men's watch/Unisex,240652.5,Rectangular,Plexiglass,Black,Green,Buckle,404.0,308.0,1980-01-01,Low Sale
26713,Laco,Automatic,steel,Leather,Men's watch/Unisex,25492.5,Circular,Sapphire crystal,Blue,Brown,Buckle,723.0,548.0,2024-01-01,Medium Sale
26714,Romain Jerome,Automatic,steel,Rubber,Men's watch/Unisex,1138500.0,Circular,Sapphire crystal,Black,Black,Double-fold clasp,1153.0,858.0,2022-01-01,Medium Sale
26728,Garmin,Quartz,steel,Silicon,Men's watch/Unisex,80107.5,Circular,Sapphire crystal,Black,Silver,Buckle,14928.0,10162.0,2023-01-01,High Sale
26732,Bremont,Automatic,steel,Rubber,Men's watch/Unisex,244860.0,Rectangular,Sapphire crystal,Black,Black,Buckle,14642.0,448.0,2023-01-01,High Sale
26737,Cartier,Automatic,steel,gold,Men's watch/Unisex,725587.5,Circular,Sapphire crystal,Silver,Gold,Fold clasp,615.0,435.0,2024-01-01,Low Sale
26742,Gallet,Manual winding,steel,Steel,Men's watch/Unisex,173827.5,Rectangular,Plexiglass,Black,Steel,Buckle,14642.0,448.0,1970-01-01,High Sale
26743,Bulova,Automatic,steel,Steel,Men's watch/Unisex,26317.5,Rectangular,Mineral Glass,Blue,Steel,"Fold clasp, hidden",14642.0,448.0,2023-01-01,High Sale
26744,Bovet,Automatic,steel,Animal skin,Women's watch,2202337.5,Circular,Sapphire crystal,Blue,White,Buckle,416.0,278.0,2024-01-01,Low Sale
26745,Union Glashütte,Automatic,steel,Steel,Men's watch/Unisex,181830.0,Circular,Sapphire crystal,Black,Steel,Fold clasp,12531.0,7853.0,2024-01-01,High Sale
26747,Dior,Quartz,steel,Steel,Men's watch/Unisex,224812.5,Circular,Sapphire crystal,Red,Steel,Fold clasp,810.0,640.0,2024-01-01,Medium Sale
26748,Ulysse Nardin,Automatic,Titanium,Leather,Men's watch/Unisex,1191300.0,Circular,Sapphire crystal,Blue,Blue,Fold clasp,407.0,308.0,2022-01-01,Low Sale
26752,Hublot,Automatic,Titanium,Titanium,Men's watch/Unisex,1402417.5,Circular,Sapphire crystal,Blue,Silver,Fold clasp,1281.0,798.0,2023-01-01,Medium Sale
26754,Chronoswiss,Automatic,steel,Animal skin,Men's watch/Unisex,227287.5,Circular,Sapphire crystal,Silver,Black,Buckle,9669.0,7766.0,2001-01-01,High Sale
26758,Bremont,Automatic,steel,Leather,Men's watch/Unisex,268537.5,Circular,Sapphire crystal,Black,Black,Buckle,352.0,267.0,2013-01-01,Low Sale
26761,Zenith,Automatic,steel,Steel,Men's watch/Unisex,542850.0,Circular,Sapphire crystal,Blue,Steel,Fold clasp,225.0,172.0,2024-01-01,Low Sale
26762,Corum,Automatic,gold,Rubber,Women's watch,2062500.0,Circular,Sapphire crystal,Blue,White,Buckle,265.0,195.0,2024-01-01,Low Sale
26769,Juvenia,Automatic,gold,gold,Men's watch/Unisex,510840.0,Circular,Plexiglass,Gold,Gold,Fold clasp,470.0,401.0,2024-01-01,Low Sale
