,Brand,Movement,Case material,Bracelet material,Gender,Price,Shape,Crystal,Dial,Bracelet color,Clasp,Total Sale,Seller Reviews,Year,Volume
11164,Cartier,Automatic,steel,Steel,Women's watch,668250.0,Circular,Sapphire crystal,Silver,Steel,Fold clasp,544.0,399.0,2023-01-01,Low Sale
11166,Vulcain,Manual winding,steel,Leather,Men's watch/Unisex,226875.0,Circular,Plexiglass,Gold,Brown,Buckle,14642.0,448.0,1970-01-01,High Sale
11168,Tissot,Automatic,steel,Steel,Women's watch,46612.5,Circular,Sapphire crystal,Green,Steel,Fold clasp,1177.0,671.0,2024-01-01,Medium Sale
11170,Luminox,Quartz,Plastic,Rubber,Men's watch/Unisex,62205.0,Circular,Sapphire crystal,Black,Black,Buckle,1608.0,1189.0,2024-01-01,Medium Sale
11172,Armand Nicolet,Automatic,steel,Steel,Men's watch/Unisex,155182.5,Rectangular,Sapphire crystal,Red,Steel,Fold clasp,2439.0,1697.0,2024-01-01,Medium Sale
11178,NOMOS,Manual winding,steel,Leather,Men's watch/Unisex,136867.5,Circular,Sapphire crystal,Silver,Black,Buckle,702.0,545.0,1999-01-01,Low Sale
11182,Bell & Ross,Automatic,steel,Steel,Men's watch/Unisex,309375.0,Circular,Sapphire crystal,Blue,Silver,Buckle,3088.0,2340.0,2024-01-01,High Sale
11183,Omega,Automatic,Ceramic,Textile,Men's watch/Unisex,853875.0,Circular,Sapphire crystal,Black,Black,Fold clasp,1262.0,869.0,2024-01-01,Medium Sale
11184,Hugo Boss,Quartz,steel,Steel,Men's watch/Unisex,42900.0,Circular,Mineral Glass,Black,Black,Fold clasp,3109.0,2199.0,2024-01-01,High Sale
11187,Omega,Manual winding,steel,Steel,Men's watch/Unisex,407962.5,Circular,Sapphire crystal,Black,Steel,Fold clasp,409.0,270.0,2004-01-01,Low Sale
11194,Patek Philippe,Automatic,gold,Rubber,Men's watch/Unisex,10807500.0,Circular,Sapphire crystal,Blue,Blue,Double-fold clasp,243.0,153.0,2024-01-01,Low Sale
11197,Doxa,Manual winding,steel,Leather,Men's watch/Unisex,28050.0,Rectangular,Plexiglass,White,Brown,Buckle,14642.0,448.0,1959-01-01,High Sale
11199,Venezianico,Automatic,steel,Leather,Men's watch/Unisex,44715.0,Circular,Sapphire crystal,Blue,Blue,Buckle,819.0,672.0,2024-01-01,Medium Sale
11210,GUB Glashütte,Manual winding,gold,Leather,Men's watch/Unisex,47437.5,Rectangular,Plexiglass,White,Brown,Buckle,496.0,412.0,1960-01-01,Low Sale
11214,Bomberg,Quartz,steel,Rubber,Men's watch/Unisex,53625.0,Circular,Sapphire crystal,Black,Black,Buckle,249.0,172.0,2023-01-01,Low Sale
11217,Gevril,Automatic,steel,Steel,Men's watch/Unisex,223575.0,Rectangular,Sapphire crystal,Blue,Silver,Buckle,14642.0,448.0,2021-01-01,High Sale
11222,Casio,Quartz,Plastic,Rubber,Men's watch/Unisex,12375.0,Circular,Mineral Glass,Black,Black,Buckle,1425.0,879.0,2024-01-01,Medium Sale
11227,Gruen,Manual winding,steel,Leather,Men's watch/Unisex,245437.5,Rectangular,Plexiglass,Silver,Brown,Buckle,1393.0,862.0,1932-01-01,Medium Sale
11239,Audemars Piguet,Manual winding,Carbon,Textile,Men's watch/Unisex,10560000.0,Circular,Sapphire crystal,Blue,Black,Fold clasp,544.0,399.0,2024-01-01,Low Sale
11241,Richard Mille,Automatic,Titanium,Rubber,Men's watch/Unisex,9240000.0,Rectangular,Sapphire crystal,Blue,Black,Buckle,243.0,153.0,2012-01-01,Low Sale
11243,Bulova,Automatic,steel,Leather,Men's watch/Unisex,51067.5,Circular,Sapphire crystal,Blue,Black,Fold clasp,580.0,323.0,2023-01-01,Low Sale
11247,Michel Herbelin,Quartz,steel,Steel,Women's watch,41085.0,Circular,Sapphire crystal,Blue,Silver,Fold clasp,2330.0,1745.0,2024-01-01,Medium Sale
11248,Louis XVI,Quartz,steel,Steel,Men's watch/Unisex,48345.0,Circular,Sapphire crystal,Black,Gold,Fold clasp,14642.0,7436.0,2024-01-01,High Sale
11250,Frederique Constant,Quartz,steel,Textile,Women's watch,120367.5,Circular,Sapphire crystal,Silver,Brown,Buckle,14642.0,448.0,2023-01-01,High Sale
11251,Invicta,Quartz,steel,Steel,Men's watch/Unisex,39352.5,Circular,Sapphire crystal,Gold,Gold,Fold clasp,14642.0,448.0,2016-01-01,High Sale
11255,Bulgari,Automatic,steel,Steel,Men's watch/Unisex,544500.0,Circular,Sapphire crystal,Red,Steel,Double-fold clasp,467.0,305.0,2020-01-01,Low Sale
11258,Breguet,Automatic,gold,Animal skin,Men's watch/Unisex,1814175.0,Circular,Sapphire crystal,Blue,Blue,Buckle,545.0,358.0,2024-01-01,Low Sale
11260,Pequignet,Quartz,steel,Rubber,Women's watch,42322.5,Circular,Sapphire crystal,Grey,Black,Double-fold clasp,1425.0,879.0,2024-01-01,Medium Sale
11265,Cuervo y Sobrinos,Automatic,steel,Animal skin,Men's watch/Unisex,181170.0,Rectangular,Sapphire crystal,Brown,Brown,Double-fold clasp,268.0,222.0,2024-01-01,Low Sale
11268,Meistersinger,Manual winding,steel,Leather,Men's watch/Unisex,106920.0,Circular,Sapphire crystal,Champagne,Brown,Buckle,518.0,344.0,2024-01-01,Low Sale
11270,JeanRichard,Automatic,steel,Rubber,Men's watch/Unisex,151305.0,Rectangular,Sapphire crystal,Black,Black,Buckle,398.0,334.0,2020-01-01,Low Sale
11271,Eberhard & Co.,Manual winding,steel,Leather,Men's watch/Unisex,147675.0,Circular,Sapphire crystal,Black,Black,Buckle,273.0,222.0,2024-01-01,Low Sale
11276,Tudor,Automatic,steel,Steel,Men's watch/Unisex,370837.5,Circular,Sapphire crystal,White,Steel,Fold clasp,615.0,435.0,2022-01-01,Low Sale
11278,Poljot,Manual winding,steel,Leather,Men's watch/Unisex,40260.0,Rectangular,Sapphire crystal,Black,Brown,Buckle,14642.0,448.0,2024-01-01,High Sale
11285,Panerai,Automatic,steel,Leather,Men's watch/Unisex,610087.5,Circular,Sapphire crystal,Black,Brown,Buckle,615.0,435.0,2021-01-01,Low Sale
11287,Yema,Automatic,steel,Steel,Men's watch/Unisex,71280.0,Circular,Sapphire crystal,Blue,Silver,Fold clasp,1087.0,815.0,2024-01-01,Medium Sale
11288,Vostok,Automatic,steel,Textile,Men's watch/Unisex,13365.0,Circular,Glass,Blue,Blue,Buckle,805.0,552.0,2024-01-01,Medium Sale
11292,Dior,Quartz,steel,Steel,Men's watch/Unisex,297000.0,Circular,Sapphire crystal,Black,Steel,"Fold clasp, hidden",249.0,172.0,2022-01-01,Low Sale
11294,Rotary,Automatic,steel,Steel,Men's watch/Unisex,25822.5,Circular,Sapphire crystal,Green,Silver,Double-fold clasp,14642.0,7436.0,2024-01-01,High Sale
11295,Hamilton,Manual winding,gold,Leather,Men's watch/Unisex,65587.5,Rectangular,Plexiglass,Silver,Black,Buckle,1393.0,862.0,1958-01-01,Medium Sale
11297,Rado,Quartz,Ceramic,Ceramic,Men's watch/Unisex,116325.0,Rectangular,Sapphire crystal,Silver,White,Fold clasp,4420.0,2829.0,2024-01-01,High Sale
11303,Breguet,Manual winding,gold,Animal skin,Men's watch/Unisex,595237.5,Circular,Sapphire crystal,Silver,Black,Buckle,14642.0,448.0,2010-01-01,High Sale
11307,Hublot,Automatic,gold,Rubber,Men's watch/Unisex,1138500.0,Circular,Sapphire crystal,Black,Black,Fold clasp,383.0,235.0,2006-01-01,Low Sale
11309,Tiffany,Quartz,steel,Steel,Women's watch,117397.5,Circular,Sapphire crystal,Black,Steel,Double-fold clasp,702.0,485.0,2024-01-01,Low Sale
11315,Heuer,Automatic,steel,Leather,Men's watch/Unisex,323400.0,Circular,Mineral Glass,Black,Black,Buckle,352.0,267.0,1979-01-01,Low Sale
11316,Bell & Ross,Automatic,steel,Rubber,Men's watch/Unisex,280087.5,Circular,Sapphire crystal,Black,Black,Buckle,361.0,255.0,2009-01-01,Low Sale
11318,Victorinox Swiss Army,Quartz,steel,Animal skin,Men's watch/Unisex,37950.0,Circular,Sapphire crystal,Black,Brown,Fold clasp,14642.0,7436.0,2024-01-01,High Sale
11319,Steinhart,Automatic,steel,Steel,Men's watch/Unisex,57337.5,Circular,Sapphire crystal,Black,Silver,Fold clasp,411.0,270.0,2016-01-01,Low Sale
11321,Alpina,Quartz,steel,Steel,Men's watch/Unisex,49417.5,Circular,Sapphire crystal,Blue,Silver,Fold clasp,6133.0,4129.0,2024-01-01,High Sale
11324,Vacheron Constantin,Automatic,steel,Steel,Men's watch/Unisex,2244000.0,Circular,Sapphire crystal,Blue,Steel,Double-fold clasp,628.0,461.0,2020-01-01,Low Sale
11329,Bell & Ross,Automatic,steel,Rubber,Men's watch/Unisex,152625.0,Circular,Sapphire crystal,Grey,Black,Buckle,232.0,167.0,2021-01-01,Low Sale
11333,Vulcain,Manual winding,steel,Leather,Men's watch/Unisex,201300.0,Rectangular,Sapphire crystal,Blue,Black,Buckle,1076.0,944.0,2024-01-01,Medium Sale
11335,Sandoz,Manual winding,steel,Leather,Men's watch/Unisex,8827.5,Circular,Plastic,Silver,Brown,Buckle,14642.0,448.0,1965-01-01,High Sale
11336,Grand Seiko,Quartz,steel,Steel,Men's watch/Unisex,329587.5,Circular,Sapphire crystal,Blue,Steel,Fold clasp,409.0,270.0,2022-01-01,Low Sale
11339,Girard Perregaux,Automatic,steel,Steel,Men's watch/Unisex,773437.5,Circular,Sapphire crystal,Black,Steel,Fold clasp,1125.0,853.0,2021-01-01,Medium Sale
11340,Laco,Manual winding,steel,Leather,Men's watch/Unisex,83242.5,Circular,Sapphire crystal,Black,Brown,Buckle,401.0,291.0,2023-01-01,Low Sale
11341,Davosa,Automatic,steel,Steel,Men's watch/Unisex,82665.0,Circular,Sapphire crystal,Green,Steel,Fold clasp,726.0,550.0,2023-01-01,Medium Sale
11345,Wyler,Automatic,steel,Steel,Men's watch/Unisex,71610.0,Rectangular,Plexiglass,Grey,Steel,"Fold clasp, hidden",293.0,246.0,1969-01-01,Low Sale
11347,Corum,Automatic,steel,Steel,Men's watch/Unisex,152295.0,Rectangular,Sapphire crystal,Champagne,Steel,"Fold clasp, hidden",1425.0,879.0,2024-01-01,Medium Sale
11350,Tommy Hilfiger,Quartz,steel,Steel,Women's watch,12457.5,Circular,Mineral Glass,Blue,Blue,Fold clasp,14642.0,7436.0,2024-01-01,High Sale
11354,Patek Philippe,Automatic,Platinum,Animal skin,Men's watch/Unisex,13934250.0,Circular,Sapphire crystal,Green,Black,Fold clasp,1281.0,801.0,2023-01-01,Medium Sale
11356,Nivada,Automatic,steel,Steel,Men's watch/Unisex,124410.0,Circular,Sapphire crystal,Brown,Silver,Fold clasp,3109.0,2199.0,2024-01-01,High Sale
11360,Dior,Quartz,steel,Animal skin,Men's watch/Unisex,39600.0,Rectangular,Sapphire crystal,Silver,Black,Buckle,937.0,580.0,2024-01-01,Medium Sale
11364,IWC,Automatic,steel,Leather,Men's watch/Unisex,354750.0,Circular,Sapphire crystal,Black,Brown,Buckle,2440.0,1789.0,2020-01-01,Medium Sale
11372,Union Glashütte,Automatic,steel,Leather,Men's watch/Unisex,239580.0,Circular,Sapphire crystal,Blue,Black,Double-fold clasp,1121.0,790.0,2024-01-01,Medium Sale
11373,Squale,Automatic,steel,Rubber,Men's watch/Unisex,102795.0,Rectangular,Sapphire crystal,Black,Black,Buckle,1076.0,944.0,2024-01-01,Medium Sale
11375,Eterna,Automatic,steel,Steel,Men's watch/Unisex,80107.5,Circular,Sapphire crystal,Silver,Silver,Double-fold clasp,648.0,448.0,2024-01-01,Low Sale
11386,Hanhart,Manual winding,steel,Leather,Men's watch/Unisex,195937.5,Circular,Sapphire crystal,Black,Black,Buckle,1076.0,944.0,2023-01-01,Medium Sale
11387,Cuervo y Sobrinos,Automatic,steel,Rubber,Men's watch/Unisex,206167.5,Circular,Sapphire crystal,Black,Black,Double-fold clasp,14642.0,448.0,2016-01-01,High Sale
11391,Hanhart,Automatic,steel,Steel,Men's watch/Unisex,222832.5,Circular,Sapphire crystal,Black,Steel,Fold clasp,1076.0,944.0,2024-01-01,Medium Sale
11392,Mondaine,Quartz,Plastic,Textile,Men's watch/Unisex,12952.5,Circular,Mineral Glass,White,Red,Buckle,5035.0,3909.0,2019-01-01,High Sale
11394,Frederique Constant,Quartz,steel,Textile,Women's watch,82087.5,Rectangular,Sapphire crystal,Silver,Black,Buckle,2264.0,1331.0,2020-01-01,Medium Sale
11395,Epos,Automatic,steel,Leather,Men's watch/Unisex,125235.0,Circular,Sapphire crystal,White,Brown,Buckle,14642.0,448.0,2008-01-01,High Sale
11399,Vulcain,Automatic,steel,Leather,Men's watch/Unisex,240900.0,Circular,Sapphire crystal,Brown,Brown,Fold clasp,549.0,480.0,2024-01-01,Low Sale
11402,Girard Perregaux,Automatic,steel,Animal skin,Men's watch/Unisex,259875.0,Circular,Sapphire crystal,Black,Black,Fold clasp,228.0,156.0,1996-01-01,Low Sale
11406,Chaumet,Manual winding,gold,Leather,Men's watch/Unisex,804375.0,Circular,Sapphire crystal,Black,Black,Buckle,2016.0,1446.0,2016-01-01,Medium Sale
11413,Chaumet,Quartz,Silver,Animal skin,Women's watch,144375.0,Circular,Sapphire crystal,White,Black,Buckle,937.0,580.0,2024-01-01,Medium Sale
11418,Luminox,Quartz,steel,Rubber,Men's watch/Unisex,44632.5,Rectangular,Sapphire crystal,Blue,Black,Fold clasp,2073.0,1305.0,2024-01-01,Medium Sale
11424,Louis XVI,Quartz,steel,Steel,Men's watch/Unisex,48345.0,Circular,Sapphire crystal,Silver,Silver,Fold clasp,14642.0,7436.0,2024-01-01,High Sale
11425,Tutima,Manual winding,gold,Leather,Men's watch/Unisex,1653877.5,Circular,Sapphire crystal,Silver,Red,Buckle,232.0,220.0,2020-01-01,Low Sale
11427,Casio,Quartz,steel,Steel,Men's watch/Unisex,22275.0,Circular,Mineral Glass,Silver (solid),Silver,Fold clasp,1177.0,671.0,2024-01-01,Medium Sale
11433,Revue Thommen,Automatic,gold,Leather,Men's watch/Unisex,134227.5,Circular,Plexiglass,Silver,Black,Buckle,5035.0,3909.0,2017-01-01,High Sale
11438,Rolex,Automatic,steel,gold,Men's watch/Unisex,1484917.5,Circular,Sapphire crystal,Black,Gold,Fold clasp,818.0,587.0,2020-01-01,Medium Sale
11442,Juvenia,Manual winding,steel,Steel,Women's watch,44302.5,Rectangular,Plastic,Silver,Gold,Jewelry clasp,2030.0,1397.0,1980-01-01,Medium Sale
11443,Zodiac,Automatic,steel,Rubber,Men's watch/Unisex,106837.5,Circular,Sapphire crystal,Blue,Black,Buckle,1425.0,879.0,2023-01-01,Medium Sale
11444,Maserati,Quartz,steel,Steel,Men's watch/Unisex,12540.0,Circular,Mineral Glass,Blue,Silver,Fold clasp,14642.0,7436.0,2024-01-01,High Sale
11454,Citizen,Automatic,Titanium,Leather,Men's watch/Unisex,35887.5,Circular,Sapphire crystal,Blue,Black,Buckle,319.0,169.0,2023-01-01,Low Sale
11457,Swiss Military,Quartz,steel,Steel,Men's watch/Unisex,17820.0,Circular,Mineral Glass,Black,Gold,Fold clasp,14642.0,7436.0,2024-01-01,High Sale
11458,Rolex,Automatic,gold,gold,Men's watch/Unisex,3394875.0,Circular,Sapphire crystal,Black,Gold,Fold clasp,306.0,242.0,2019-01-01,Low Sale
11460,Vostok,Automatic,steel,Steel,Men's watch/Unisex,12457.5,Circular,Glass,Blue,Steel,Fold clasp,805.0,552.0,2024-01-01,Medium Sale
11463,Claude Bernard,Automatic,steel,Steel,Men's watch/Unisex,66660.0,Circular,Sapphire crystal,Blue,Silver,Fold clasp,428.0,348.0,2024-01-01,Low Sale
11466,Roamer,Manual winding,steel,Leather,Men's watch/Unisex,33577.5,Rectangular,Plexiglass,Champagne,Brown,Buckle,14642.0,448.0,1949-01-01,High Sale
11470,Orient,Automatic,steel,Leather,Men's watch/Unisex,22852.5,Rectangular,Mineral Glass,Red,Black,Fold clasp,2073.0,1305.0,2024-01-01,Medium Sale
11471,Gucci,Automatic,Plastic,Rubber,Men's watch/Unisex,100650.0,Circular,Sapphire crystal,Green,Green,Fold clasp,409.0,304.0,2023-01-01,Low Sale
11472,Traser,Quartz,steel,Textile,Men's watch/Unisex,26730.0,Circular,Sapphire crystal,Black,Black,Buckle,8544.0,4712.0,2024-01-01,High Sale
11473,Vacheron Constantin,Automatic,steel,Steel,Men's watch/Unisex,1847917.5,Circular,Sapphire crystal,Black,Steel,Fold clasp,701.0,455.0,2023-01-01,Low Sale
11476,Fortis,Automatic,steel,Leather,Men's watch/Unisex,151222.5,Circular,Sapphire crystal,Black,Black,Buckle,726.0,550.0,2024-01-01,Medium Sale
11479,Carl F. Bucherer,Quartz,steel,gold,Women's watch,34567.5,Circular,Sapphire crystal,Grey,Gold,Double-fold clasp,14642.0,448.0,2015-01-01,High Sale
11480,Citizen,Quartz,steel,Textile,Men's watch/Unisex,43395.0,Circular,Sapphire crystal,Green,Green,Buckle,319.0,169.0,2024-01-01,Low Sale
11485,Perrelet,Automatic,steel,Leather,Men's watch/Unisex,347160.0,Circular,Sapphire crystal,Black,Black,Double-fold clasp,1004.0,784.0,2022-01-01,Medium Sale
11486,Breitling,Automatic,steel,Steel,Men's watch/Unisex,329917.5,Circular,Sapphire crystal,Black,Steel,Fold clasp,266.0,196.0,2023-01-01,Low Sale
11490,Laco,Automatic,steel,Textile,Men's watch/Unisex,87697.5,Circular,Sapphire crystal,Blue,Silver,Buckle,219.0,179.0,2024-01-01,Low Sale
11502,Frederique Constant,Automatic,steel,Leather,Men's watch/Unisex,257235.0,Circular,Sapphire crystal,White,Brown,Buckle,319.0,169.0,2023-01-01,Low Sale
11505,Bremont,Automatic,steel,Animal skin,Men's watch/Unisex,324472.5,Circular,Sapphire crystal,White,Black,Buckle,2224.0,1454.0,2020-01-01,Medium Sale
11507,Montblanc,Automatic,gold,Animal skin,Men's watch/Unisex,701250.0,Circular,Sapphire crystal,White,Black,Buckle,14642.0,448.0,2022-01-01,High Sale
11509,Rolex,Automatic,steel,Steel,Men's watch/Unisex,1113750.0,Rectangular,Sapphire crystal,Black,Steel,Fold clasp,544.0,399.0,2022-01-01,Low Sale
11510,Hublot,Automatic,Ceramic,Animal skin,Men's watch/Unisex,824917.5,Circular,Sapphire crystal,Blue,Black,Fold clasp,232.0,167.0,2021-01-01,Low Sale
11511,NOMOS,Manual winding,steel,Leather,Men's watch/Unisex,78622.5,Circular,Sapphire crystal,Black,Brown,Buckle,14642.0,448.0,2017-01-01,High Sale
11515,Oris,Automatic,steel,Rubber,Men's watch/Unisex,156337.5,Circular,Sapphire crystal,Blue,Blue,Fold clasp,615.0,435.0,2024-01-01,Low Sale
11519,Armand Nicolet,Automatic,steel,Rubber,Men's watch/Unisex,125812.5,Rectangular,Sapphire crystal,Grey,Black,Fold clasp,2439.0,1697.0,2024-01-01,Medium Sale
11526,Festina,Quartz,steel,Leather,Men's watch/Unisex,12457.5,Circular,Mineral Glass,Grey,Black,Buckle,1608.0,1189.0,2024-01-01,Medium Sale
11528,Bremont,Automatic,steel,Textile,Men's watch/Unisex,309375.0,Circular,Sapphire crystal,Black,Black,Buckle,3088.0,2340.0,2022-01-01,High Sale
11529,Bertolucci,Quartz,steel,Leather,Men's watch/Unisex,98422.5,Rectangular,Sapphire crystal,Brown,Brown,Double-fold clasp,14642.0,448.0,2006-01-01,High Sale
11530,Laco,Automatic,steel,Leather,Men's watch/Unisex,195937.5,Circular,Sapphire crystal,Black,Black,Buckle,219.0,179.0,2024-01-01,Low Sale
11533,Chopard,Automatic,Titanium,Rubber,Men's watch/Unisex,210292.5,Circular,Sapphire crystal,Black,Black,Buckle,14642.0,448.0,2024-01-01,High Sale
11534,Cuervo y Sobrinos,Automatic,steel,Steel,Men's watch/Unisex,205342.5,Circular,Sapphire crystal,Brown,Brown,Fold clasp,14950.0,10175.0,2024-01-01,High Sale
11535,Alpina,Quartz,steel,gold,Women's watch,89017.5,Circular,Sapphire crystal,White,Gold,Fold clasp,2477.0,2037.0,2024-01-01,Medium Sale
11536,Vostok,Automatic,steel,Leather,Men's watch/Unisex,32587.5,Circular,Mineral Glass,Blue,Blue,Buckle,1608.0,1189.0,2024-01-01,Medium Sale
11542,Traser,Quartz,steel,Steel,Men's watch/Unisex,54615.0,Circular,Sapphire crystal,Black,Black,Fold clasp,1474.0,1090.0,2024-01-01,Medium Sale
11544,Vacheron Constantin,Automatic,gold,Leather,Men's watch/Unisex,1009800.0,Circular,Sapphire crystal,White,Black,Buckle,1153.0,859.0,2004-01-01,Medium Sale
11550,Jaquet-Droz,Automatic,gold,Animal skin,Women's watch,1274625.0,Circular,Sapphire crystal,Red,Red,Buckle,3088.0,2340.0,2023-01-01,High Sale
11551,Grand Seiko,Automatic,steel,Steel,Men's watch/Unisex,1192125.0,Circular,Sapphire crystal,Green,Silver,Buckle,3088.0,2340.0,2024-01-01,High Sale
11552,Franc Vila,Automatic,steel,Rubber,Men's watch/Unisex,671055.0,Rectangular,Sapphire crystal,Blue,Black,Double-fold clasp,356.0,328.0,2000-01-01,Low Sale
11554,Pequignet,Quartz,steel,Steel,Women's watch,44302.5,Circular,Sapphire crystal,Blue,Steel,"Fold clasp, hidden",274.0,228.0,2008-01-01,Low Sale
11555,Omega,Automatic,steel,Rubber,Men's watch/Unisex,412500.0,Circular,Sapphire crystal,Grey,Blue,Buckle,255.0,129.0,2024-01-01,Low Sale
11556,Montblanc,Automatic,steel,Textile,Men's watch/Unisex,192390.0,Circular,Sapphire crystal,Black,Black,Buckle,920.0,745.0,2024-01-01,Medium Sale
11557,Hanhart,Automatic,steel,Leather,Men's watch/Unisex,187027.5,Circular,Sapphire crystal,White,Black,Buckle,1076.0,944.0,2024-01-01,Medium Sale
11559,A. Lange & Söhne,Automatic,gold,Leather,Men's watch/Unisex,2366100.0,Circular,Sapphire crystal,Silver,Black,Buckle,3534.0,2000.0,2024-01-01,High Sale
11569,Jacques Lemans,Automatic,Ceramic,Ceramic,Men's watch/Unisex,34897.5,Circular,Sapphire crystal,Green,Black,Fold clasp,14642.0,448.0,2022-01-01,High Sale
11571,Rolex,Automatic,steel,gold,Men's watch/Unisex,1608750.0,Circular,Sapphire crystal,Gold,Gold,Fold clasp,395.0,278.0,2023-01-01,Low Sale
11576,Nivada,Automatic,steel,Steel,Men's watch/Unisex,119872.5,Circular,Sapphire crystal,Blue,Steel,Fold clasp,1474.0,1090.0,2024-01-01,Medium Sale
11578,Panerai,Manual winding,steel,Leather,Men's watch/Unisex,358050.0,Circular,Sapphire crystal,Black,Brown,Buckle,3534.0,2000.0,2000-01-01,High Sale
11581,Zodiac,Automatic,steel,Steel,Men's watch/Unisex,139837.5,Circular,Sapphire crystal,Green,Steel,Double-fold clasp,1425.0,879.0,2023-01-01,Medium Sale
11582,Formex,Automatic,Titanium,Leather,Men's watch/Unisex,84975.0,Rectangular,Sapphire crystal,Blue,Brown,Fold clasp,1076.0,944.0,2024-01-01,Medium Sale
11584,Gucci,Quartz,steel,Leather,Men's watch/Unisex,41167.5,Rectangular,Sapphire crystal,Black,Black,Buckle,249.0,172.0,2015-01-01,Low Sale
11585,Wenger,Quartz,steel,Animal skin,Men's watch/Unisex,19717.5,Circular,Mineral Glass,Silver,Brown,Buckle,14642.0,7436.0,2024-01-01,High Sale
11587,Christopher Ward,Automatic,steel,Steel,Men's watch/Unisex,78375.0,Circular,Sapphire crystal,Black,Silver,Fold clasp,14642.0,448.0,2019-01-01,High Sale
11589,Daniel Roth,Automatic,steel,Leather,Men's watch/Unisex,1050472.5,Rectangular,Sapphire crystal,Black,Black,Buckle,398.0,334.0,2024-01-01,Low Sale
11592,Zeppelin,Automatic,steel,Animal skin,Men's watch/Unisex,89347.5,Circular,Sapphire crystal,Black,Black,Buckle,14642.0,7436.0,2024-01-01,High Sale
11594,Citizen,Automatic,Titanium,Titanium,Men's watch/Unisex,69712.5,Circular,Sapphire crystal,Grey,Black,Fold clasp,580.0,323.0,2023-01-01,Low Sale
11598,Tonino Lamborghini,Quartz,steel,Leather,Women's watch,120780.0,Circular,Sapphire crystal,White,White,Fold clasp,598.0,367.0,2023-01-01,Low Sale
11599,Montblanc,Automatic,steel,Animal skin,Men's watch/Unisex,247500.0,Circular,Sapphire crystal,Silver,Black,Buckle,14642.0,448.0,2022-01-01,High Sale
11605,Squale,Automatic,steel,Steel,Men's watch/Unisex,240652.5,Circular,Sapphire crystal,Blue,Steel,Fold clasp,14642.0,448.0,2022-01-01,High Sale
11607,Epos,Automatic,steel,Steel,Men's watch/Unisex,66742.5,Rectangular,Sapphire crystal,Blue,Steel,Double-fold clasp,14642.0,448.0,2024-01-01,High Sale
11619,Universal Genève,Automatic,steel,Leather,Men's watch/Unisex,48262.5,Rectangular,Plexiglass,Silver,Gold,Buckle,1393.0,862.0,1954-01-01,Medium Sale
11629,Police,Quartz,steel,Animal skin,Men's watch/Unisex,8827.5,Circular,Mineral Glass,Grey,Green,Buckle,14642.0,7436.0,2024-01-01,High Sale
11635,Philip Watch,Quartz,steel,Steel,Women's watch,33495.0,Circular,Sapphire crystal,Black,Steel,Fold clasp,3614.0,2570.0,2024-01-01,High Sale
11638,Patek Philippe,Automatic,steel,Rubber,Men's watch/Unisex,5339812.5,Circular,Sapphire crystal,Black,Black,Double-fold clasp,397.0,238.0,2022-01-01,Low Sale
11641,Hanhart,Manual winding,steel,Leather,Men's watch/Unisex,178035.0,Rectangular,Sapphire crystal,White,Brown,Buckle,358.0,312.0,2024-01-01,Low Sale
11644,Seiko,Automatic,steel,Steel,Men's watch/Unisex,45375.0,Circular,Sapphire crystal,Black,Steel,Fold clasp,14642.0,448.0,2018-01-01,High Sale
11650,Rado,Quartz,Ceramic,Ceramic,Men's watch/Unisex,89512.5,Rectangular,Sapphire crystal,Black,Black,Double-fold clasp,14642.0,448.0,1996-01-01,High Sale
11655,Breguet,Automatic,steel,Rubber,Men's watch/Unisex,1130250.0,Circular,Sapphire crystal,Blue,Blue,Fold clasp,1153.0,859.0,2018-01-01,Medium Sale
11656,Hanhart,Manual winding,steel,Animal skin,Men's watch/Unisex,223657.5,Circular,Sapphire crystal,White,Black,Buckle,358.0,312.0,2024-01-01,Low Sale
11663,M&M Swiss Watch,Automatic,steel,Leather,Men's watch/Unisex,49252.5,Circular,Mineral Glass,Black,Black,Buckle,14642.0,448.0,2024-01-01,High Sale
11664,Omega,Manual winding,steel,Textile,Men's watch/Unisex,486337.5,Circular,Plexiglass,Black,Black,Fold clasp,1396.0,951.0,2024-01-01,Medium Sale
11669,Formex,Automatic,steel,Rubber,Men's watch/Unisex,174487.5,Rectangular,Sapphire crystal,Bronze,Black,Fold clasp,1076.0,944.0,2024-01-01,Medium Sale
11673,Clerc,Automatic,steel,Rubber,Men's watch/Unisex,228195.0,Rectangular,Sapphire crystal,Black,Red,Double-fold clasp,14642.0,448.0,2017-01-01,High Sale
11677,Bulgari,Automatic,Titanium,Titanium,Men's watch/Unisex,979687.5,Circular,Sapphire crystal,Grey,Silver,Fold clasp,1125.0,853.0,2019-01-01,Medium Sale
11687,Concord,Quartz,steel,Steel,Men's watch/Unisex,139425.0,Circular,Sapphire crystal,Black,Steel,Double-fold clasp,811.0,642.0,2024-01-01,Medium Sale
11689,Zodiac,Automatic,steel,Leather,Men's watch/Unisex,82087.5,Circular,Sapphire crystal,Black,Black,Buckle,1425.0,879.0,2024-01-01,Medium Sale
11705,Festina,Quartz,steel,Leather,Men's watch/Unisex,7012.5,Rectangular,Mineral Glass,Blue,Blue,Buckle,14642.0,448.0,2019-01-01,High Sale
